제목,원제,개봉일,대여,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,스트리밍
사이에서,,(2012),,,['59%'],"['드라마 , Made in Europe']",['1시간 11분'],"['Lee Joong-bae , Go Hyeon-uk , Eo Il-seon']","['Hwang Su-jeong', 'Ki Tae-young', 'Park Chul-min', 'Chun Woo-hee', 'Na Jae-ung', 'Baek Won-gil']","삶에 끝에서 만난 인연 내 생애 가장 눈부신 순간 ‘사이에서’ 남편의 상습적인 폭력으로 오랜 세월 고통 받아 온 ‘그녀’는 시한부 인생을 선고 받은 후, 현재로부터 벗어나기 위한 여행 길에 오른다. 그리고 그 길에서 ‘그녀’는 운명 같은 사랑과 마주하게 되는데… 한편, 아버지를 죽인 혐의로 무기징역을 선고 받은 ‘그’는 감옥으로 송치되던 중 극적으로 도망치게 되고 바로 그 길에서 숙명 같이 ‘그녀’와 마주하게 된다. 오로지 분노와 절망으로 가득하던 ‘그’의 삶은 ‘그녀’로 인해 점차 변해가고, 행복한 순간 속에서 문득 희망을 꿈꾸게 되는데… 절망의 끝에서 마주한 기적 같은 하루 절망… 그리고 희망 ‘사이에서’ 그가 필요한 건 매서운 파도가 몰아치는 바닷가, 그곳 가파른 절벽 위에 ‘송장수’가 아슬아슬하게 섰다. 아쉬울 것 하나 없는 삶 그래서 이제 그만 끝내려는데… 젠장, 목이 마르다. 목은 축이고 죽어야 여한이 없을 것 같다. 그렇지만 둘러봐도 편의점 따윈 없고 뒤져보니 나오는 건 라이터 하나뿐. 어렵사리 라이터에 적힌 물다방에 연락해 신신당부를 했건만 그게 뭐 그리 어려운 부탁이라고 물을 놓고 왔단다. 레지를 달래서 물을 가져다 달라고 돌려보냈는데… 깜깜무소식?! “고깟 물 한 병 가져다 달라는 걸… 이렇게 씹어?” 이대로 죽을 순 없다! 너한테 꼭 물을 얻어 먹고 죽을란다!",https://images.justwatch.com/poster/242934951/s276/in-between.webp,[]
낙스:마약전쟁,Narx,(2011),,"[('Naver Store', ['₩1,000', 'HD'])]","['40%', '4.3']","['액션 , 드라마 , 범죄']",['1시간 34분'],['Alex Maisonette'],"['Chris Mulkey', 'Fat Joe', 'Jason Rodriguez']","10년간 마약 조직에서 잠복근무하며 마약상 노릇을 한 비밀경찰 잭슨. 그는 3년간만 잠복근무를 하고 다시 보통 형사가 되려고 생각했지만, 10년 후인 지금도 여전히 마약상 노릇을 하고 있다. 매년 그만둘 생각을 하면서도 여전히 마약상들과 어울리며 이미 경찰이 아닌 마약상이 되버린 잭슨. 그가 속한 마약 조직의 두목격인 빅 에드가 뉴욕에서 가장 큰 마약 거래로 인해 감옥에 수감되버리게 되고, 이후 잭슨에게는 생각지도 못했던 시련들이 다가오는데... 거대 마약 조직과 경찰의 치열한 전쟁! 그 치열한 전쟁의 승자는?",https://images.justwatch.com/poster/137233356/s276/narx.webp,
가비,,(2012),"[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]","[('wavve', ['₩6,050', 'HD']), ('Naver Store', ['₩6,050', 'HD'])]","['66%', '5.9']",['드라마'],['1시간 55분'],['Chang Youn-hyun'],"['Kim So-yeon', 'Joo Jin-mo', 'Park Hee-soon', 'Yoo Sun', 'Jo Deok-hyeon', 'Jo Kyoung-Hoon', 'Kim Hyeon-A', 'Kim Ga-eun', 'Kim Eung-soo', 'Jo Seung-yeon', 'Yoon Ju-man']","1896년, 고종이 러시아 공사관으로 피신해 대한제국을 준비하던 혼돈의 시기, 러시아 대륙에서 커피와 금괴를 훔치다 러시아군에게 쫓기게 된 일리치와 따냐는, 조선계 일본인 사다코의 음모로 조선으로 오게 된다. 고종의 곁에서 커피를 내리는 조선 최초의 바리스타가 된 따냐, 그녀를 지키기 위해 사카모토란 이름으로 스파이가 된 일리치, 그들은 사다코로 인해 은밀한 고종암살작전에 휘말리게 되는데…",https://images.justwatch.com/poster/177128602/s276/russian-coffee.webp,
청포도 사탕: 17년 전의 약속,,(2012),"[('wavve', ['₩1,400', 'HD'])]","[('Naver Store', ['₩1,400', 'HD'])]","['72%', '6.7']",['드라마'],['1시간 44분'],['Kim Hee-jung'],"['Park Jin-hee', 'Park Ji-yoon', 'Kim Jung-nan', 'Choi Won-young', 'Kang Min-ah']","약혼자 지훈의 사고 소식을 듣고 찾아간 병원에서 중학교 동창인 소라와 재회하게 된 선주. 지훈의 출판사에서 준비중인 신간의 작가가 소라라는 사실을 알게 된 선주는 알 수 없는 불안감에 휩싸인다. 지훈과 소라가 함께 가기로 한 출장에 지훈을 따돌리고 합류한 선주는 그 곳에서 어린 시절 그들의 친구였던 여은의 언니 정은을 만나게 된다. 돌아오는 길에 일어난 갑작스런 사고로 어쩔 수 없이 정은의 집에 머무르게 된 그날 밤, 그녀들은 잊혀졌던 기억과 마주하게 되는데…",https://images.justwatch.com/poster/249116245/s276/grape-candy.webp,"[('wavve', ['정액제', 'HD'])]"
두만강,,(2010),"[('wavve', ['₩2,200', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]","['68%', '6.7']",['드라마'],['1시간 30분'],['Zhang Lu'],"['Cui Jian', 'Lan Yin', 'Jin-Long Lin']","중국 연변과 북한 함경도를 사이에 둔 두만강 인근의 한 조선족 마을. 할아버지와 누이와 함께 사는 열 두 살 창호는 먹을 것을 구하려고 강을 넘나드는 또래의 북한 소년 정진과 우연히 친구가 된다. 처음엔 축구시합 출전 약속으로 시작된 거래였지만 어느새 의리가 생긴 것. 하지만 탈북자들이 마을 주민들에게 크고 작은 피해를 입히면서, 점점 소년들 사이에도 작은 균열이 생긴다. 그러던 어느 날, 누이 순희가 탈북자에게 겁탈당한 사실을 알게 된 창호는 분노한 나머지 정진을 때리며 매몰차게 내친다. 그럼에도 정진은 창호와 약속한 아랫마을 아이들과의 축구시합을 위해 또 다시 두만강을 건너 마을에 나타나는데…",https://images.justwatch.com/poster/33246220/s276/dooman-river.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
클라우트로포비아 : 폐소공포증,Claustrofobia,(2011),,,"['60%', '5.6 (1k)']","['스릴러 , 공포 , Made in Europe']",['1시간 34분'],['Bobby Boermans'],"['Dragan Bakema', 'Carolien Spoor', 'Thijs Römer', 'Frits Lambrechts', 'Rogier Philipoom', 'Peter Faber']",아름다운 배우지망생 에바는 새 아파트로 이사 한 기념으로 친구와 클럽에 갔다가 평소 호감을 갖고 있던 아래층 남자 알렉스와 우연히 만나 합석한다. 정신을 차린 에바는 낯선 곳에 수갑이 채워진 자신을 발견하고 납치된 사실을 깨닫는다. 마스크를 쓴 남자가 나타나 에바를 감시하기 시작하고 에바는 점점 공포에 빠져든다. 에바는 탈출을 시도하지만 에바의 탈출 시도는 낯선 이들의 희생만을 불러 온다. 그러면서 에바는 납치범의 실체와 자신을 납치한 이유를 알게 되고 충격에 빠진다. 그것은 한 여자를 향한 한 남자의 치밀한 복수극의 일부였던 것. 과연 에바는 탈출할 수 있을까?,https://images.justwatch.com/poster/139051083/s276/claustrofobia.webp,"[('Watcha', ['정액제', 'HD'])]"
The Weather Station,Прячься!,(2010),,"[('Naver Store', ['₩1,000', 'HD'])]","['56%', '6.1']",['스릴러'],['1시간 20분'],"[""Johnny O'Reilly""]","['Pyotr Logachev', 'Vladimir Gusev', 'Sergey Garmash', 'Aleksey Guskov', 'Anton Shagin', 'Sergey Yushkevich', 'Marina Aleksandrova', 'Egor Pazenko', 'Kirill Burdikhin', 'Denis Gusev']","Two veteran meteorologists spend their days on a remote mountain weather station, accompanied by a young boy working as a cook. Their every-day lifestyle, made of creating matchstick models on one side, researching the big-foot myth on the other, and the boy's constant need to find places for hiding is briefly interrupted by a visit from two tourists: husband and his young wife - traveling to visit a cave near the weather station, so they'd mark their five year anniversary. Their arrival is the primer for an unknown series of events that puts an experienced inspector and his young colleague where we find them at the beginning of the movie: on a deserted weather station, where everyone seems to have vanished into thin air. The hank slowly unrolls as viewer discovers the truth behind everything, step by step, until the final loop of a long story line unravels and present him the final surprise.",https://images.justwatch.com/poster/138990097/s276/priach-sia.webp,"[('Watcha', ['정액제', 'HD'])]"
The Ugly Duckling,Гадкий утёнок,(2010),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['70%', '6.6']","['애니메이션 , 가족']",['1시간 15분'],['Garri Bardin'],"['Armen Dzhigarkhanyan', 'Chervyak (voice)', 'Mama-kuritsa (voice)', 'Gadkiy utyonok (voice)', 'Grigoriy Anashkin', 'Garri Bardin']","Adapted from the Andersen tale and played out in musical comedy mode, The Ugly Duckling is set in a farmyard where roosters, hens, ducks and geese live and lay eggs together. One fine day, a rooster discovers a giant egg behind the farmyard kingdom fence, and discreetly slips it into the clutch laid by his partner... Very soon, a cygnet emerges, but as he in no way resembles any of them he is immediately stigmatized by the whole farmyard, enduring humiliations and suspicion on the part of his feathered companions. But in the end he becomes a magnificent white swan.",https://images.justwatch.com/poster/139030347/s276/gadkii-utionok.webp,"[('Watcha', ['정액제', 'HD'])]"
Little Gobie,,(2010),"[('wavve', ['₩1,500', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['35%', '3.1']","['애니메이션 , 가족']",['1시간 43분'],['Tony Tang'],['Joyce Cheng'],"During a skiing event, Gobie and BeBe get into a hazardous accident with serious injuries. BeBe is one of the twin beloved pet dragons of Gobie, and the other one is Kuma. Believing in the existence of Santa, Gobie thinks he can help him save BeBe's life. Therefore, Gobie decides to set off to Santaland with Kuma. Written by Anonymous (IMDb.com)",https://images.justwatch.com/poster/174395022/s276/little-gobie.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
전국 : 천하영웅의 시대,戰國,(2011),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['52%', '4.5']","['드라마 , 로맨스 , 전쟁']",['2시간 6분'],['Jin Chen'],"['Sun Honglei', 'Francis Ng', 'Kim Hee-seon', 'Jiang Wu', 'Jing Tian', 'Kiichi Nakai', 'Guo Degang', 'Feng Enhe', 'Xue Cun', 'Ma Jingwu', 'Wu Jun', 'Xiong Xin-Xin', 'He Yunwei', 'Xu Jiao', 'Waise Lee', 'Huang Haibing', 'Lei Kesheng', 'Fang Zige', 'Mao Hai', 'Liao Jingsheng']","혼란의 전국시대, 최고의 전술가 귀곡선생이 쓴 신비의 병서가 제자 손빈에게 전해졌다는 소문이 돌자 위나라와 제나라는 전쟁을 제패하기 위해 은거 중인 손빈을 회유하려 한다. 하지만 자유분방한 성격의 손빈은 제나라가 제안하는 최고의 대우에도 정치가가 되길 거절하고, 귀곡선생 밑에서 동문수학한 벗이자 위나라의 장수 방연은 손빈을 다시 위나라로 데려와 숨겨진 병법을 알아내려 한다. 하지만 소문과 달리 손빈이 내놓는 병법들은 별 다를 것이 없고 끝내 반역자로 몰린 손빈은 무릎이 잘리는 형벌에 처해진다. 방연의 배신과 계속되는 고문에 실성을 하고 만 손빈. 방연의 누이이자 위나라의 황후 완은 제나라의 여장수 전석에게 손빈을 구할 도움을 청하는데...",https://images.justwatch.com/poster/139892493/s276/the-warring-states.webp,
하이힐을 신은 여자는 위험하다,God Save My Shoes,(2012),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['73%', '6.8']",['다큐멘터리'],['1시간 0분'],['Julie Benasra'],"['Manolo Blahnik', 'Christian Louboutin', 'Kelly Rowland', 'Walter Steiger', 'Filipa Fino', 'Meghan Cleary']","‘섹스 앤 더 시티’의 캐리가 사랑한 슈즈, 마놀로 블라닉, 그리고 ‘레드 솔(red sole)’을 창시한 뉴 레전드 크리스찬 루부탱과 패션 피플들을 열광하게 만든 과감한 디자인의 월터 스테이저 등 1%의 슈즈를 만들어온 디자이너들이 하이힐의 비밀을 밝히기 위해 뭉쳤다. 하이힐은 어떻게 여성들의 발길을 멈추게 했나, 그리고 남성들은 왜 하이힐을 신은 여자에 빠져드는가. 전세계 슈어홀릭들이 말하는 내가 하이힐을 사랑할 수 밖에 없는 이유가 지금부터 밝혀진다.",https://images.justwatch.com/poster/139438794/s276/god-save-my-shoes.webp,
킹스맨: 시크릿 에이전트,Kingsman: The Secret Service,(2014),,"[('wavve', ['₩5,500', 'HD'])]","['85%', '7.7 (624k)']","['범죄 , 코미디 , 스릴러 , 액션']",['2시간 9분'],['Matthew Vaughn'],"['Taron Egerton', 'Colin Firth', 'Mark Strong', 'Samuel L. Jackson', 'Sophie Cookson', 'Sofia Boutella', 'Michael Caine', 'Mark Hamill', 'Samantha Womack', 'Jonno Davies', 'Jack Davenport', 'Adrian Quinton', 'Alex Nikolov', 'Velibor Topic', 'Geoff Bell', 'Jordan Long', 'Theo Barklem-Biggs', 'Tobi Bakare', 'Morgan Watkins', 'Paul Kennington', 'Ralph Ineson', 'Edward Holcroft', 'Nicholas Banks', 'Jack Cutmore-Scott', 'Nicholas Agnew', 'Rowan Polonski', 'Tom Prior', 'Fiona Hampton', 'Bjørn Floberg', 'Hanna Alström', 'Johanna Taylor', 'Lily Travers', 'Richard Brake', 'Andrew Bridgmont', 'Corey Johnson', 'Anne Wittman', 'Andrei Lenart', 'Simon Green', 'Lazara Storm', 'Sarah Hewson', 'Jayne Secker', 'Lukwesa Burak', 'James Clayton', 'Nick English', 'Charles Filmer', 'Bimbo Hart', 'Chester King', 'Alastair MacIntosh', 'Carlos Peres', 'Jude Poyer', 'Daniel Westwood', 'Daniel Chapple', 'Jefferson King']","높은 IQ, 주니어 체조대회 2년 연속 우승! 그러나 학교 중퇴, 해병대 중도 하차. 동네 패싸움에 직장은 가져본 적도 없이 별볼일 없는 루저로 낙인 찍혔던 ‘그’가‘젠틀맨 스파이’로 전격 스카우트 됐다! 전설적 베테랑 요원 해리 하트(콜린 퍼스)는 경찰서에 구치된 에그시(태런 애거튼)를 구제한다. 탁월한 잠재력을 알아본 그는 에그시를 전설적 국제 비밀정보기구 ‘킹스맨’ 면접에 참여시킨다. 아버지 또한 ‘킹스맨’의 촉망 받는 요원이었으나 해리 하트를 살리기 위해 죽었다는 사실을 알게 된 에그시. 목숨을 앗아갈 만큼 위험천만한 훈련을 통과해야 하는 킹스맨 후보들. 최종 멤버 발탁을 눈 앞에 둔 에그시는 최고의 악당 발렌타인(사무엘 L. 잭슨)을 마주하게 되는데…",https://images.justwatch.com/poster/187271737/s276/kingsman-the-secret-service.webp,"[('Disney Plus', ['정액제', '4K'])]"
존 윅,John Wick,(2014),,,"['83%', '7.4 (587k)']","['액션 , 스릴러 , 범죄']",['1시간 41분'],['Chad Stahelski'],"['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen', 'Adrianne Palicki', 'Bridget Moynahan', 'Dean Winters', 'Lance Reddick', 'Toby Leonard Moore', 'Ian McShane', 'John Leguizamo', 'Willem Dafoe', 'Omer Barnea', 'Daniel Bernhardt', 'Bridget Regan', 'Keith Jardine', 'Tait Fletcher', 'Kazy Tauginas', 'Thomas Sadoski', 'Randall Duk Kim', 'David Patrick Kelly', 'Clarke Peters', 'Kevin Nash', 'Gameela Wright', 'Vladislav Koulikov', 'Munro M. Bonnell', 'Patricia Squire', 'Vladimir Troitsky', 'Matt McColm', 'Alexander Frekey', 'Scott Tixier', 'Carolyn Blair', 'Samantha Crawford', 'Nadia Kay', 'Natalia Kiriya', 'Tommy Bayiokos', 'J. J. Perry', 'Dennis Keiffer']","전설이라 불리던 킬러 존 윅은 사랑하는 여인을 만나 결혼을 하면서 범죄의 세계에서 은퇴한다. 행복도 잠시, 투병 끝에 부인이 세상을 떠나고 그의 앞으로 부인이 죽기 전에 보낸 강아지 한 마리가 선물로 배달된다. 어느 날 그의 차를 탐낸 러시아 마피아의 일원 요세프가 존 윅을 폭행하고 애완견 데이지마저 죽여버리는 일이 벌어진다. 그런데 요세프는 과거 존 윅을 고용한 적 있는 러시아 마피아 보스 비고의 아들이다. 마지막 남은 애완견마저 잃은 존 윅은 이제 그만의 방식으로 복수를 시작하는데...",https://images.justwatch.com/poster/187285619/s276/john-wick.webp,"[('wavve', ['정액제', 'HD'])]"
타임 패러독스,Predestination,(2014),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]","['82%', '7.5 (270k)']","['SF , 스릴러 , 액션 , 드라마 , 범죄']",['1시간 37분'],"['Peter Spierig , Michael Spierig']","['Ethan Hawke', 'Sarah Snook', 'Noah Taylor', 'Christopher Kirby', 'Madeleine West', 'Jim Knobeloch', 'Freya Stafford', 'Elise Jansen', 'Tyler Coppin', 'Christopher Stollery', 'Christopher Sommers', 'Kuni Hashimoto', 'Sara El-Yafi', 'Paul Moder', 'Grant Piro', 'Christopher Bunworth', 'Jamie Gleeson', 'Christina Tan', 'Dennis Coard', 'Milla Simmonds', 'Ruby Simmonds', 'Cate Wolfe', 'Ben Prendergast', 'Carmen Warrington', 'Sharon Kershaw', 'Charlie Alexander-Powell', 'Smith Alexander-Powell', 'Olivia Sprague', 'Katie Avram', 'Melissa Avram', 'Giordano Gangl', 'Tony Nikolakopoulos', 'Monique Heath', 'Sophie Cusworth', 'Finegan Sampson', 'David Rock', 'Richard Whybrow', 'Felicity Steel', 'Lucinda Armstrong Hall', 'Maja Sarosiek', 'Vanessa Crouch', ""Eliza D'Souza"", 'Sophie Van Den Akker', 'Madeleine Dixon', 'Hayley Butcher', 'Rebecca Cullinan', 'Alicia Pavlis', 'Ewa Bartecki', ""Arielle O'Neill"", 'Alexis Fernandez', 'Kristie Jandric', 'Marky Lee Campbell', 'Rob Jenkins', 'Raj Sidhu', 'Annabelle Norman', 'Scott Norman', 'Kristen Norman', 'Michael Norman', 'Louise Talmadge', 'Carolyn Shakespeare-Allen', 'Noel Herriman', 'Ray Tiernan']","뉴욕을 초토화시킨 폭파 사건으로 대규모 사상자가 발생한다. 용의자 피즐 폭파범을 잡기 위해 범죄 예방 본부는 시간여행을 할 수 있는 템포럴 요원을 투입한다. 단서1. 템포럴 요원은 피즐 폭파범을 막다가 얼굴을 다쳐 이식수술을 한다. 단서2. 템포럴 요원은 바텐더로 위장 취업해 존을 만난다. 단서3. 존은, 고아원에서 자라나 우주비행사를 꿈꾸다가 의문의 남자를 만나 아이를 낳고 인생을 망친 소녀 제인에 대한 이야기를 한다. 단서4. 존은 제인과 깊은 관련이 있다. 단서5. 템포럴 요원은 존을 제인이 의문의 남자를 만나기 바로 직전으로 데리고 간다. 단서6. 템포럴 요원은 존과 깊은 관련이 있다. 이제부터의 이야기를 당신은 상상도 못할 것이다!",https://images.justwatch.com/poster/188268532/s276/predestination.webp,
어메이징 스파이더맨 2,The Amazing Spider-Man 2,(2014),"[('wavve', ['₩1,300', 'HD']), ('Naver Store', ['₩1,300', 'HD'])]","[('Naver Store', ['₩5,000', 'HD']), ('wavve', ['₩5,500', 'HD'])]","['76%', '6.5 (447k)']","['판타지 , 액션 , 전쟁 , 코미디 , 역사 , SF']",['2시간 22분'],['Marc Webb'],"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Colm Feore', 'Felicity Jones', 'Paul Giamatti', 'Sally Field', 'Embeth Davidtz', 'Campbell Scott', 'Marton Csokas', 'Louis Cancelmi', 'Max Charles', 'B.J. Novak', 'Sarah Gadon', 'Michael Massee', 'Jorge Vega', 'Bill Heck', 'Teddy Coluca', 'Helen Stern', 'Aidy Bryant', 'Cal McCrystal', 'Anslem Richardson', 'Mark Doherty', 'James Colby', 'Kari Coleman', 'Skyler Gisondo', 'Charlie DePew', 'Robert Newman', 'Adrian Martinez', 'Thaddeus Phillips', 'James McCauley', 'Rachael McOwen', 'David Shabtai', 'Greg Connolly', 'Timothy Adams', 'Tug Coker', 'Jabari Gray', 'Jamie Lynn Concepcion', 'Pat Kiernan', 'Jessica Abo', 'Clem Cheung', 'Dusan Hyska', 'Andrei Runtso', 'Brennan Taylor', 'Slate Holmgren', 'Drew Beasley', 'Matthew Tronieri', 'Dario Barosso', 'Salvatore L. Rossi', 'Peter KT Tzotchev', 'Paul Urcioli', 'David Shih', 'Daniel Gerroll', 'Brian McElhaney', 'Jonathan Braylock', 'Steven Hauck', 'J.D. Walsh', 'Stan Lee', 'Jessica Shea Alverson', 'Stefanie Barry', 'Chris Cooper', 'BJ Davis', 'Julia Davis', 'Frank Deal', 'Odette Warder Henderson', 'Denis Leary', 'Lynn Marocola', 'Josh Elliott Pickel', 'Jacob Rodier', 'Martin Sheen']","스파이더맨의 삶에 완전히 적응한 피터 파커는 거미줄로 뉴욕을 활강하며 위험에 처한 시민들을 구해주고 사랑하는 연인 그웬과 데이트를 즐기며 행복하게 살아간다. 그러던 어느 날, 스파이더맨의 열렬한 팬이자 오스코프사의 전기 엔지니어인 맥스는 작업 중 치명적인 사고로 자신에게 엄청난 능력이 생긴 것을 발견한다. 하지만 이 능력으로 인해 뉴욕을 마비시킨 대규모 정전사태가 발생하고 사태를 해결하기 위해 나선 자신의 영웅 스파이더맨에게 공격을 당하자 배신감을 느끼고 분노하는데...",https://images.justwatch.com/poster/245582467/s276/the-amazing-spider-man-2.webp,"[('Netflix', ['정액제', '4K'])]"
그래비티,Gravity,(2013),"[('Naver Store', ['₩1,300', 'HD']), ('wavve', ['₩1,320', 'HD'])]","[('wavve', ['₩4,950', 'HD']), ('Naver Store', ['₩4,950', 'HD'])]","['84%', '8.1']","['SF , 스릴러 , 음악 , 드라마 , 판타지 , 액션']",['1시간 31분'],['Alfonso Cuarón'],"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen', 'Phaldut Sharma', 'Amy Warren', 'Basher Savage']","허블 우주 망원경을 수리하기 위해 우주를 탐사하던 라이언 스톤 박사는 폭파된 인공위성의 잔해와 부딪히면서 우주 공간에 홀로 남겨진다. 탑승했던 왕복선은 파괴됐고 산소는 희박해져간다. 홀로 남겨졌다는 공포가 그녀를 휘감아 가던 순간, 그녀의 앞에 베테랑 동료 우주비행사인 매트 코왈스키가 구세주처럼 나타난다. 인공위성의 잔해가 지구를 한 바퀴 돌아 다시 덮쳐오기까지 걸리는 시간은 단 90분. 그 전에 그들은 우주 왕복선과 가까이 있는 ISS로 이동해서 소유즈를 활용해 지구로 귀환하기로 하는데...",https://images.justwatch.com/poster/188379883/s276/gravity.webp,"[('Netflix', ['정액제', 'HD']), ('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
메이즈 러너,The Maze Runner,(2014),,"[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['79%', '6.8 (436k)']","['스릴러 , SF , 액션']",['1시간 53분'],['Wes Ball'],"[""Dylan O'Brien"", 'Kaya Scodelario', 'Ki Hong Lee', 'Aml Ameen', 'Blake Cooper', 'Thomas Brodie-Sangster', 'Will Poulter', 'Dexter Darden', 'Chris Sheffield', 'Joe Adler', 'Alexander Flores', 'Jacob Latimore', 'Randall D. Cunningham', 'Patricia Clarkson', 'Don McManus', 'Michael Bow', 'Jerry Clark', 'Michael Deville', 'Dylan Gaspard', 'Cory Gooding', 'Cazi Greene', 'Dustin Guitreau', 'Tyler Harrison', 'Landon Hazel', 'Gary Hood', 'Nick Killebrew', 'John Langston', 'Chad Martinez', 'Lester Millet', 'Sawyer Pierce', 'Weston Rachal', 'Bryce Romero', 'Johnny Stockwell', 'SanChavis Torns', 'Lane Westerhaus', 'Gentry Williams', 'Adriana Acosta', 'Duane Cothren', 'Mark Gibson', 'Darryl Harvey', ""Janet L'Aube"", 'Travis Michael Myers', 'Zach Nichols', 'Tommy Sheppard', 'Andrew Varenhorst', 'Carol Jean Wells', 'Jeff Wiesen']","삭제된 기억, 거대한 미로로 둘러싸인 낯선 공간 모든 기억이 삭제된 채 의문의 장소로 보내진 ‘토마스’(딜런 오브라이언). ‘토마스’는 미로에 갇힌 그곳에서 자신과 같은 상황의 사람들을 만난다. 그들은 매일 밤 살아 움직이는 미로에서 정체를 알 수 없는 죽음의 존재와 대립하며, 지옥으로부터 빠져나갈 탈출구인 지도를 완성해 나간다. 그러던 어느 날, 미로의 문이 열리고 그들은 마지막 선택의 기로에 놓이게 되는데…",https://images.justwatch.com/poster/183488233/s276/the-maze-runner.webp,"[('Disney Plus', ['정액제', '4K'])]"
트랜스포머: 사라진 시대,Transformers: Age of Extinction,(2014),"[('wavve', ['₩1,500', 'HD']), ('Naver Store', ['₩1,500', 'HD'])]","[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['66%', '5.6 (306k)']","['액션 , SF']",['2시간 45분'],['Michael Bay'],"['Mark Wahlberg', 'Stanley Tucci', 'Nicola Peltz', 'Jack Reynor', 'Titus Welliver', 'Kelsey Grammer', 'Sophia Myles', 'Li Bingbing', 'T. J. Miller', 'James Bachman', 'Thomas Lennon', 'Charles Parnell', 'Han Geng', 'Erika Fong', 'Michael Collins', 'Zou Shiming', 'Richard Riehle', 'Patrick Bristow', 'Cleo King', 'Calvin Wimmer', 'Glenn Keogh', 'David Midthunder', 'Richard Gallion', 'Nick Horst', 'Kassem Gharaibeh', 'Yanis Kalnins', 'Edward T. Welburn', 'Peter A Kelly', 'Jessica Gomes', 'Andreas Beckett', 'Alexander Leeb', 'Jamison Haase', 'Drew Wicks', 'Gene Shieh', 'Woei Bee', 'Wang Ying', 'William Wang', 'Abigail Klein', 'Melanie Specht', 'Greg Matthew Anderson', 'Austin Lin', 'Victoria Summer', 'Kevin Covais', 'B. Adam Baillio', 'Mikal Vega', 'Andrew Arrabito', 'Tyrone Smith', 'Kenny Sheard', 'Kevin Kent', 'Michael Wong Man-Tak', 'King-Man Yip', 'Ray Lui', 'Candice Zhao', 'Li Jun Ting', 'Howard Y. Woo', 'Jingsheng Yu', 'Ben Wang', 'Zhang Tianyu', 'Wu Gang', 'Teresa Daley', 'Peter Cullen', 'Frank Welker', 'John Goodman', 'Ken Watanabe', 'Robert Foxworth', 'John DiMaggio', 'Mark Ryan', 'Reno Wilson', 'Kevin Covais', 'Michael Bay']","시카고에서 벌어진 오토봇과 디셉티콘의 전투로 인해 수많은 사상자가 발생하고 도시가 처참하게 파괴되자 정부는 일부 오토봇을 제외한 트랜스포머에 대해 체포령을 내린다. 시카고 사태, 5년 후 대부분의 디셉티콘이 처벌되고 오토봇 역시 모습을 감춘 상황, 엔지니어 케이드 예거는 우연히 폐기 직전 고물차로 변해있던 옵티머스 프라임을 깨우게 된다. 그리고 그의 생존이 알려지자 옵티머스 프라임을 노리고 있던 어둠의 세력 역시 모습을 드러내기 시작한다. 전세계를 새로운 위협에 몰아넣을 거대한 음모, 사상 최대 가장 강력한 적에 맞서 옵티머스 프라임과 오토봇 군단은 목숨을 건 대결에 나서는데...",https://images.justwatch.com/poster/188379699/s276/transformers-age-of-extinction.webp,"[('Netflix', ['정액제', 'HD']), ('Amazon Prime Video', ['정액제', 'HD']), ('wavve', ['정액제', 'HD'])]"
