0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
188,829,16371,5054,12995,3009,13282,9710,1501,1181,399,2967,2730,5768,13649,4901,14945,1187,16329,6930,6582
189,673,2910,4559,218,5973,2158,2371,17297,8127,9631,145,6511,3728,2100,9624,13448,16349,16025,16063,15359
190,7807,386,367,3603,77,611,11443,11528,10725,2697,13275,17666,3980,10842,7468,8719,3585,9127,622,773
191,1662,2099,1282,636,3004,702,3342,249,2957,12082,4959,10136,412,5087,722,13670,8,629,421,2218
192,7721,1862,770,607,431,9906,10978,12666,6741,1944,14432,13216,1102,9765,6554,14025,5231,3815,5858,3528
193,5144,1929,672,2826,950,1866,408,12881,57,7286,3860,2501,14604,769,5169,5936,11268,12125,6384,7827
194,1043,773,3906,12789,10006,4433,7377,13,5958,8211,1582,17008,5565,3850,7617,14607,12453,14534,1203,5701
195,130,46,1292,1174,1749,4625,2754,2457,3906,5596,2786,9501,2781,7845,2749,379,2542,533,2725,662
196,1160,4264,11147,8396,575,13490,6305,13639,8242,4152,15596,1408,13511,13247,1296,11458,7468,1546,4600,256
197,1261,2429,6636,310,6838,515,266,8882,6783,2839,4662,3071,2878,40,15645,545,3966,3305,13613,9558
198,18126,2343,17810,986,18417,13869,5722,9005,1404,685,2514,675,15205,8661,481,8873,6174,7387,1455,4949
199,10214,1766,6634,11309,8839,1453,1636,10660,296,11782,1049,3699,1321,5340,13773,17667,10085,1296,609,5097
200,1322,6691,3837,1213,7899,747,1674,3980,2449,2553,11202,3052,5483,1113,677,2134,9328,9825,9014,533
201,244,2018,123,13307,8925,18158,3197,3148,17624,8738,6782,9391,11302,4941,8059,5381,13507,5247,3037,14292
202,3043,475,1004,14817,10647,16805,1288,9527,3309,2472,12050,5492,7166,56,3248,14515,11894,992,11821,16866
203,15430,5624,3815,18004,911,4667,14964,1944,2013,14298,6029,17748,2050,738,2755,2731,14162,14403,10150,3777
204,3463,9865,9765,18769,6016,14305,12765,4677,1982,9693,17690,16556,13399,13615,14189,7464,16645,18677,8326,11893
205,6267,870,1535,7264,3320,4544,660,1442,8854,6792,2370,3445,12004,8484,1250,6262,11773,18686,7410,15572
206,3012,6007,5827,1999,2338,7648,2549,11211,8341,3912,8456,7622,11638,408,1800,2685,7969,7933,6571,14459
207,2587,2099,1662,11546,5187,7022,13349,191,636,9403,3149,6788,10086,9543,2727,9456,3004,3342,2957,5209
208,13150,5773,14079,1631,5270,3017,12391,9494,4960,12991,7299,8511,2087,12639,18757,2185,739,494,5869,1808
209,4957,7705,7364,5137,14079,4084,7634,1612,15163,2111,1231,3149,15009,15964,266,10415,14562,10086,7465,5250
210,9202,127,6323,17240,12656,15896,978,5233,17307,2496,3522,3626,9359,2449,15226,16268,1826,311,2310,493
211,1860,12531,9172,12432,14259,13958,5683,18466,14015,11031,4249,7464,8337,18108,245,8741,13275,6043,8968,8864
212,1920,4874,10443,3466,17068,14054,17173,17963,14606,16439,2356,8818,7184,6793,13739,1636,12956,1075,4970,5388
213,6346,8818,1887,4351,8376,4393,487,2310,1959,125,6773,9390,1999,108,3493,17862,12232,2412,4065,7854
214,13486,11505,9635,3128,1595,812,3181,11194,11409,626,15057,16848,13838,13583,8571,11127,1491,16315,8050,866
215,11587,8066,9940,13842,452,8299,2905,4981,11635,5249,664,14280,14874,2145,13284,6832,1366,5914,2535,17261
216,10958,5670,7936,1895,2612,3057,13409,3716,1542,13814,3316,9831,2795,2325,0,12638,6394,5257,1455,980
217,7997,1196,1061,7094,6868,1715,6985,7916,10213,15040,7188,3150,16042,15682,4363,3020,3901,1168,15702,8190
218,1927,2670,9524,1754,13285,5185,4090,66,485,9159,189,5523,2100,13276,6755,434,15519,2436,13402,1758
219,2219,12486,1939,12121,15042,13131,659,3843,2702,9652,12166,17155,14583,5567,1064,6628,2338,13061,8592,12287
220,3578,1910,6478,8690,11073,12320,3644,8438,2823,2686,776,2546,10183,2616,7899,1116,12365,11917,14310,8793
221,92,4260,9743,724,7406,5062,5091,6888,7200,7277,7462,300,12052,1025,817,3278,7551,5282,1518,3238
222,725,8703,14512,10342,13400,648,9191,898,428,14093,10426,9530,13789,8393,1082,5231,14953,16578,17252,2618
223,7203,1826,5020,3001,960,10795,9458,9012,14692,259,7740,143,620,16628,5427,8769,13412,8010,7498,1070
224,2030,9548,6900,2538,2520,11495,303,7917,14392,15444,2410,2744,12374,6781,6921,1072,948,17423,3292,288
225,3559,136,8710,566,5870,11110,6425,9761,2267,8056,6977,3764,790,6270,6068,549,6262,10965,14178,3567
